"districts","1","2","3","4","5","6","7","8"
"Allan Hancock Joint Community College District","San Luis Obispo","Santa Barbara","Ventura","","","","",""
"Antelope Valley Community College District","Kern","Los Angeles","","","","","",""
"Barstow Community College District","San Bernardino","","","","","","",""
"Butte-Glenn Community College District","Butte","Glenn","","","","","",""
"Cabrillo Community College District","Monterey","San Benito","Santa Cruz","","","","",""
"Cerritos Community College District","Los Angeles","","","","","","",""
"Chabot-Las Positas Community College District","Alameda","Contra Costa","","","","","",""
"Chaffey Community College District","San Bernardino","","","","","","",""
"Citrus Community College District","Los Angeles","","","","","","",""
"Coast Community College District","Orange","","","","","","",""
"Compton Community College District","Los Angeles","","","","","","",""
"Contra Costa Community College District","Contra Costa","","","","","","",""
"Copper Mountain Community College District","San Bernardino","","","","","","",""
"Desert Community College District","Riverside","Imperial","","","","","",""
"El Camino Community College District","Los Angeles","","","","","","",""
"Feather River Community College District","Plumas","","","","","","",""
"Foothill-DeAnza Community College District","Santa Clara","","","","","","",""
"Gavilan Community College District","San Benito","Santa Clara","","","","","",""
"Glendale Community College District","Los Angeles","","","","","","",""
"Grossmont-Cuyamaca Community College District","San Diego","","","","","","",""
"Hartnell Community College District","Monterey","San Benito","","","","","",""
"Imperial Community College District","Imperial","","","","","","",""
"Kern Community College District","Inyo","Kern","San Bernardino","Tulare","","","",""
"Lake Tahoe Community College District","El Dorado","","","","","","",""
"Lassen Community College District","Lassen","Modoc","Mono","Sierra","","","",""
"Long Beach Community College District","Los Angeles","","","","","","",""
"Los Angeles Community College District","Los Angeles","","","","","","",""
"Los Rios Community College District","El Dorado","Placer","Sacramento","Solano","Yolo","","",""
"Marin Community College District","Marin","","","","","","",""
"Mendocino-Lake Community College District","Lake","Mendocino","","","","","",""
"Merced Community College District","Fresno","Madera","Merced","","","","",""
"MiraCosta Community College District","San Diego","","","","","","",""
"Monterey Peninsula Community College District","Monterey","","","","","","",""
"Mt. San Antonio Community College District","Los Angeles","","","","","","",""
"Mt. San Jacinto Community College District","Riverside","","","","","","",""
"Napa Valley Community College District","Napa","Sonoma","","","","","",""
"North Orange County Community College District","Los Angeles","Orange","","","","","",""
"Ohlone Community College District","Alameda","","","","","","",""
"Palo Verde Community College District","Riverside","San Bernardino","","","","","",""
"Palomar Community College District","San Diego","","","","","","",""
"Pasadena Area Community College District","Los Angeles","","","","","","",""
"Peralta Community College District","Alameda","","","","","","",""
"Rancho Santiago Community College District","Orange","","","","","","",""
"Redwoods Community College District","Del Norte","Humboldt","Mendocino","Trinity","","","",""
"Rio Hondo Community College District","Los Angeles","","","","","","",""
"Riverside Community College District","Riverside","","","","","","",""
"San Bernardino Community College District","Riverside","San Bernardino","","","","","",""
"San Diego Community College District","San Diego","","","","","","",""
"San Francisco Community College District","San Francisco","","","","","","",""
"San Joaquin Delta Community College District","San Joaquin","Calaveras","Sacramento","Alameda","Solano","","",""
"San Jose-Evergreen Community College District","Santa Clara","","","","","","",""
"San Luis Obispo County Community College District","San Luis Obispo","Monterey","","","","","",""
"San Mateo County Community College District","San Mateo","","","","","","",""
"Santa Barbara Community College District","Santa Barbara","","","","","","",""
"Santa Clarita Community College District","Los Angeles","","","","","","",""
"Santa Monica Community College District","Los Angeles","","","","","","",""
"Sequoias Community College District","Kings","Tulare","Fresno","","","","",""
"Shasta-Tehama-Trinity Joint Community College District","Shasta","Tehama","Trinity","Lassen","Modoc","Humboldt","",""
"Sierra Joint Community College District","El Dorado","Nevada","Placer","Sacramento","","","",""
"Siskiyou Joint Community College District","Siskiyou","","","","","","",""
"Solano County Community College District","Solano","Yolo","","","","","",""
"Sonoma County junior College District","Sonoma","Marin","Mendocino","","","","",""
"South Orange County Community College District","Orange","","","","","","",""
"Southwestern Community College District","San Diego","","","","","","",""
"State Center Community College District","Fresno","Madera","Kings","Tulare","","","",""
"Ventura County Community College District","Ventura","","","","","","",""
"Victor Valley Community College District","Los Angeles","San Bernardino","","","","","",""
"West Hills Community College District","Madera","Kings","Fresno","San Benito","Monterey","","",""
"West Kern Community College District","Kern","","","","","","",""
"West Valley-Mission Community College District","Santa Clara","Santa Cruz","","","","","",""
"Yosemite Community College District","Calaveras","Merced","Stanislaus","Tuolumne","San Joaquin","Santa Clara","",""
"Yuba Community College District","Yuba","Yolo","Sutter","Butte","Colusa","Glenn","Lake","Placer"
